2026-04-04 03:46:20 | ALLOWED | lines=14 bytes=1320 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/tasks.md
2026-04-04 03:46:20 | ALLOWED | lines=42 bytes=2962 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/proposal.md
2026-04-04 03:46:20 | ALLOWED | lines=41 bytes=4534 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/design.md
2026-04-04 03:46:27 | ALLOWED | lines=24 bytes=1773 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/diagnostic-query/spec.md
2026-04-04 03:46:27 | ALLOWED | lines=24 bytes=1594 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/database-client/spec.md
2026-04-04 03:46:27 | ALLOWED | lines=40 bytes=2384 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/java-bridge/spec.md
2026-04-04 03:46:37 | ALLOWED | lines=146 bytes=4326 | passed | /Users/apple/.claude/mcp/dm-mcp/core/validators.py
2026-04-04 03:46:37 | ALLOWED | lines=64 bytes=1749 | passed | /Users/apple/.claude/mcp/dm-mcp/tools/query.py
2026-04-04 03:46:37 | ALLOWED | lines=603 bytes=21102 | passed | /Users/apple/.claude/mcp/dm-mcp/db/java_bridge.py
2026-04-04 03:46:42 | ALLOWED | lines=69 bytes=2269 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_validators.py
2026-04-04 03:46:42 | ALLOWED | lines=205 bytes=5517 | passed | /Users/apple/.claude/mcp/dm-mcp/README.md
2026-04-04 03:46:42 | ALLOWED | lines=497 bytes=20233 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 03:47:57 | ALLOWED | lines=56 bytes=1114 | passed | /Users/apple/.claude/mcp/dm-mcp/core/__init__.py
2026-04-04 03:49:01 | ALLOWED | lines=455 bytes=14755 | passed | /Users/apple/.claude/mcp/dm-mcp/db/client.py
2026-04-04 04:22:19 | ALLOWED | lines=20 bytes=2502 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/tasks.md
2026-04-04 04:22:19 | ALLOWED | lines=55 bytes=4558 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/proposal.md
2026-04-04 04:22:19 | ALLOWED | lines=51 bytes=6412 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/design.md
2026-04-04 04:22:24 | ALLOWED | lines=187 bytes=5595 | passed | /Users/apple/.claude/mcp/dm-mcp/core/validators.py
2026-04-04 04:22:24 | ALLOWED | lines=92 bytes=2971 | passed | /Users/apple/.claude/mcp/dm-mcp/tools/query.py
2026-04-04 04:22:30 | ALLOWED | lines=173 bytes=6625 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_validators.py
2026-04-04 04:22:30 | ALLOWED | lines=467 bytes=15374 | passed | /Users/apple/.claude/mcp/dm-mcp/db/client.py
2026-04-04 04:22:30 | ALLOWED | lines=608 bytes=21606 | passed | /Users/apple/.claude/mcp/dm-mcp/db/java_bridge.py
2026-04-04 04:22:35 | ALLOWED | lines=242 bytes=6482 | passed | /Users/apple/.claude/mcp/dm-mcp/README.md
2026-04-04 04:22:35 | ALLOWED | lines=567 bytes=23326 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:22:53 | ALLOWED | lines=62 bytes=1296 | passed | /Users/apple/.claude/mcp/dm-mcp/core/__init__.py
2026-04-04 04:23:39 | ALLOWED | lines=192 bytes=7518 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_validators.py
2026-04-04 04:23:45 | ALLOWED | lines=192 bytes=7518 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_validators.py
2026-04-04 04:24:30 | ALLOWED | lines=567 bytes=23326 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:24:52 | ALLOWED | lines=588 bytes=24287 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:25:06 | ALLOWED | lines=588 bytes=24287 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
